artifact_id,method_family,dataset,old_hr10,corrected_hr10,delta_hr10_corrected_minus_old,old_ndcg10,corrected_ndcg10,delta_ndcg10_corrected_minus_old,expected_rows,evaluated_rows,metric_contract_version,candidate_policy,valid_item_count,model_item_count,non_candidate_model_item_slots,legacy_model_catalog_mismatch_authorized,history_pad_semantics,random_seed,eval_seed,checkpoint_selector_protocol,selection_bias_not_recomputed,evaluation_artifact_path,evaluation_artifact_sha256,summary_path,summary_sha256,checkpoint_path,checkpoint_sha256,log_path,log_sha256,manifest_path,manifest_sha256,split_path,split_sha256
host_steam,host,Steam,0.029749503968253967,0.02957185899740859,-0.00017764497084537742,0.012895807155712712,0.012840503867478021,-5.5303288234690925e-05,80651,80651,e0_full_tail_v2,first-M-zero-based,9265,9265,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/host_steam/host_steam_steam_p2_evalseed100_e0_eval.json,954a4f9e11396f7499e086fabe7724e7e8a09b6f0fd50a5188e44b43d311c7a6,/data/Zijian/goal/RecDemo/checkpoints-meta/Steam/best_summary_adaptive.json,232a8aa9639fd466621a76456498999fe2527367c54067f4291367f0a8a21bc2,/data/Zijian/goal/RecDemo/checkpoints-meta/Steam/checkpoint_adaptive_best.pth,091c2587336c371ff62c0332b5a41df44eaab0bc067b6545fbdc1d8c3cef0ec4,/data/Zijian/goal/RecDemo/logs/steam_adaptive_earlystop.log,d5ff630dd4df2583c009a2f8da2bb8f251f6d054cc5fdfb5541edf178033fa10,,,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam/test_data.df,90be476a5a40a6b88a217b7b360ae5c80f59355da21dc8686873f9474de8dfd7
host_ml1m,host,ML1M,0.16534112237237236,0.1652245184708155,-0.00011660390155684985,0.09102175325784369,0.09093621859020211,-8.553466764157913e-05,85405,85405,e0_full_tail_v2,first-M-zero-based,3706,3706,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/host_ml1m/host_ml1m_ml1m_p2_evalseed100_e0_eval.json,d892b6cb0f006fb7a22caea5c13edcff9a44b6200029cb732137e93277969ce4,/data/Zijian/goal/RecDemo/checkpoints-meta/ML1M/best_summary_hybrid.json,59d3adebdf82a9dcb4062e479a3c3635afbf057cbec2d3e25e27fb7194dd027a,/data/Zijian/goal/RecDemo/checkpoints-meta/ML1M/checkpoint_hybrid_best.pth,1d08f1f65f08b6f4e819504caa850e47fdd075913a93ffa390e85917e6316b09,/data/Zijian/goal/RecDemo/logs/ml1m_hybrid_earlystop.log,1c875c027a6ed0ca550f942fae5e54d3c890a4f1829a33489a854aed7b2531be,,,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ML1M/test_data.df,92944bba9dc300a188eda0d2f2f794c16720ab0542bf406f65d3161ea854a3a4
host_beauty,host,Beauty,0.05224609375,0.05006705409029951,-0.0021790396597004894,0.03329485780367814,0.03160298154847333,-0.0016918762552048106,2237,2237,e0_full_tail_v2,first-M-zero-based,12101,12101,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/host_beauty/host_beauty_beauty_p2_evalseed100_e0_eval.json,a57d81ffbd81624f41c306275cea614a4514063f8f128c7e06b8da749b31fecc,/data/Zijian/goal/RecDemo/checkpoints-meta/Beauty/best_summary_adaptive.json,2071d281cb33fe18f26e03dbc5e84592d233fc731bd24e1c21c3ad11c05b211a,/data/Zijian/goal/RecDemo/checkpoints-meta/Beauty/checkpoint_adaptive_best.pth,7861123831ed496c5019cb9959793ceff3e8d3096ecffee179e701f91c8fadfd,/data/Zijian/goal/RecDemo/logs/beauty_adaptive_earlystop.log,3ff9b94ff29fd7313f3c40bbe7378ac166efe04b177ca45747c507b7eac9ae52,,,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/test_data.df,94805afca343ff505e978b3d8eff1f7e8a97920f340ca3a9dd6e92cf02de814b
host_atg,host,ATG,0.048549107142857144,0.04685890834191555,-0.0016901988009415947,0.0418775070198879,0.0403604137836112,-0.0015170932362766967,1942,1942,e0_full_tail_v2,first-M-zero-based,11921,11924,3,True,ordinary_non_candidate_legacy_model_slot,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/host_atg/host_atg_atg_p2_evalseed100_e0_eval.json,ea60f03ca754cb8cff1c78a78d1061a32bc3658abda48674f997761e248884cf,/data/Zijian/goal/RecDemo/checkpoints-meta/ATG/best_summary_hybrid.json,ae800dfd538745c211b966b10a68920e000ad17fcf6d28770002ea1a02142a38,/data/Zijian/goal/RecDemo/checkpoints-meta/ATG/checkpoint_hybrid_best.pth,e5b0831ae3e06412971efbf7d0c417ca65d5ab7c8f85e154fb713973f8e95ff7,/data/Zijian/goal/RecDemo/logs/atg_hybrid_earlystop.log,7f043aad06baed491e4dd841779dbe8df6e3debd87b610a3491ed8d6336575be,,,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ATG/test_data.df,c1bf2e988193879af84ae4a23828defd1e6b7afb4940ce99295e41e64b5472d7
ours_full_steam,ours,Steam,0.03485863095238095,0.035126656830045504,0.00026802587766455027,0.014911009456830658,0.014982810380303248,7.18009234725904e-05,80651,80651,e0_full_tail_v2,first-M-zero-based,9265,9265,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/ours_full_steam/ours_full_steam_steam_p2_evalseed100_e0_eval.json,4782c577f9ca12488511ef10545dc6506c8476dcc2e2d81e99835d9824ece7e0,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,9cc41edd403b909f8f73ba92109e4c89582494579255e115e6132f084d66f69f,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,ca022e9cb4648617da0ba98db8c960ff78f018a1f98d6b2bf75a2b013f14cd5d,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/logs/steam_proposal_adaptive_mainpath.log,8de02f871a64474232b20225f9129d20a3c419b721dc5839ddfbe97a1943da49,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/frozen_run_manifest.json,a3c6bbfe2c96d1f9d8d9bc851debb3be6f98267b777a08812cf24bf96ab48478,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam/test_data.df,90be476a5a40a6b88a217b7b360ae5c80f59355da21dc8686873f9474de8dfd7
ours_full_ml1m,ours,ML1M,0.16888372747747749,0.1692992213570634,0.0004154938795859209,0.07588870818711951,0.0760856856087867,0.00019697742166718823,85405,85405,e0_full_tail_v2,first-M-zero-based,3706,3706,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/ours_full_ml1m/ours_full_ml1m_ml1m_p2_evalseed100_e0_eval.json,ed665bdfe7e2274d18be8765c021ce85f140254547f5929c1569103dbf31c149,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/best_summary_proposal_adaptive.json,3f64d85d9599994fd5de20cf4ba8ba92c239163de58115e874efe48f5a0cf9b4,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/checkpoint_proposal_adaptive_best.pth,e1bdf6555040d7588d56ad8191bb42f42dad529f1573b67fcbb2628b52dc0d30,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/logs/ml1m_proposal_adaptive_mainpath.log,5e3e5cb2194595f0523c3133fd401439ae187a45bcfb0ad898b264f97b2e10bf,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/frozen_run_manifest.json,47e6a85b841df4bc0069758c1dadf5b3469715f2d90273bbb5a48b4386e283f3,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ML1M/test_data.df,92944bba9dc300a188eda0d2f2f794c16720ab0542bf406f65d3161ea854a3a4
ours_full_beauty,ours,Beauty,0.052734375,0.05006705409029951,-0.0026673209097004894,0.02943597133472178,0.02789811440178807,-0.00153785693293371,2237,2237,e0_full_tail_v2,first-M-zero-based,12101,12101,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/ours_full_beauty/ours_full_beauty_beauty_p2_evalseed100_e0_eval.json,d54c9585703baadef2df7526962086bda1040ecee6c9abdd28f9e49bdcb26620,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,6f64444d72a72a44a0e08b5ab588d1629676c000bea5f56cb424d8dda11c969e,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/checkpoint_proposal_adaptive_best.pth,a6dcfa0de9e234b1eed7ff4d5a653f4fc3619da70a334f7e5f32b33d9546f588,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/logs/beauty_proposal_adaptive_mainpath.log,caaa089983048d58dd06ea463d0501a25df7baa61149fcc82dcf4a2e5e10028f,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/frozen_run_manifest.json,1b8f35e3c122ef8700ab6a1ffd024c8ed7e4471dc0d72ac154cc5ffa59e14ee2,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/test_data.df,94805afca343ff505e978b3d8eff1f7e8a97920f340ca3a9dd6e92cf02de814b
ours_full_atg,ours,ATG,0.046875,0.04479917610710608,-0.002075823892893923,0.030467401613380435,0.02885521243050671,-0.0016121891828737266,1942,1942,e0_full_tail_v2,first-M-zero-based,11921,11921,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/ours_full_atg/ours_full_atg_atg_p2_evalseed100_e0_eval.json,fad7078b72fffe15495259fee9625dc2ba40fc6a82c84bd661cddae4cf723286,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/best_summary_proposal_adaptive.json,95df9488951a36d89b905181f83384de450f024b1e81f92ef17846efd0efb61b,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/checkpoint_proposal_adaptive_best.pth,ffec48ff552a33dd0b405d1220fff6558a83cb354af1861cdb91d898f27bcda5,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/logs/atg_proposal_adaptive_mainpath.log,28765f9225c86ca70d49bf8ae28761a67fc85f124938d04804008c3573736246,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/frozen_run_manifest.json,886ab6754d62a8177a6982b3c1b25fc1edeb556e656ac87b75272bd46cb25104,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ATG/test_data.df,c1bf2e988193879af84ae4a23828defd1e6b7afb4940ce99295e41e64b5472d7
global_p_steam,control,Steam,0.030617559523809523,0.03104735217170277,0.00042979264789324775,0.013243762552577337,0.013408400195929333,0.0001646376433519954,80651,80651,e0_full_tail_v2,first-M-zero-based,9265,9265,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/global_p_steam/global_p_steam_steam_p2_evalseed100_e0_eval.json,53ac6636bf5d67a0dba1b24c9b4b08a5358363ad7f5c9761118813240f2a7663,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,4f4066a69f1a27a1951aec316525af2297653dadc1abe7676aaf5f84e79099c4,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,25cfce9efe56c1b32aad3b36bbdd619b09fe4b984fb83c31223cd71c5231c4a6,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/logs/steam_proposal_adaptive_ablation_global_p.log,a78f6ed2881e5545706124a95f34f6891669188927f186302fa27ac868cce0b6,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/frozen_run_manifest.json,8ed06fed4bb380ccb16a8f3c46b043c16db2519d2bc754029dc38c1a590ffb6b,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam/test_data.df,90be476a5a40a6b88a217b7b360ae5c80f59355da21dc8686873f9474de8dfd7
u_shuffle_steam,control,Steam,0.03196924603174603,0.033018809438196677,0.0010495634064506473,0.01383426115588621,0.014215701349235195,0.00038144019334898464,80651,80651,e0_full_tail_v2,first-M-zero-based,9265,9265,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/u_shuffle_steam/u_shuffle_steam_steam_p2_evalseed100_e0_eval.json,49030595eb4fc94b874b70e67f455e3aeb30607d769a7a14ffd677fcf4f5d814,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,2530ae3e0a81b191d329b11047a3aa903cdfaca5998536d61d29b7ec07a20b0f,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,cc56e8dc878a93efb0372a3419d80123fcd8438b748415dd9272982a8a2b2bb5,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/logs/steam_proposal_adaptive_ablation_u_shuffle.log,f4e52e91257391be30706e9b5ef7e909f2a84d38f38b91332b3768c08627460d,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/frozen_run_manifest.json,4647783c986e2cb998d24b734cd08fe0e566cd333b3299c99a8285393876b921,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam/test_data.df,90be476a5a40a6b88a217b7b360ae5c80f59355da21dc8686873f9474de8dfd7
text_anchor_only_steam,control,Steam,0.06875,0.06860423305352692,-0.00014576694647308597,0.030180637020685318,0.03000364921001544,-0.00017698781066987843,80651,80651,e0_full_tail_v2,first-M-zero-based,9265,9265,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/text_anchor_only_steam/text_anchor_only_steam_steam_p2_evalseed100_e0_eval.json,86950d6d8c5b0f45029b6baa148fbb4f900fbc422ad5d0b0802972baf1768207,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,895f8fed4f884e34f1e3a2135513870358b77209bf19d5f5b88c63037c315ad4,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/checkpoint_proposal_adaptive_best.pth,090e0e90ebae53bd5cab43c34d70972cc538c7d4c98450d6c7f9d8d188cbea1f,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/logs/steam_proposal_adaptive_ablation_text_anchor_only.log,3df2e6e671cbae9d00881462b78e182d655c05ccb2fdb67233989c8e081099c9,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/frozen_run_manifest.json,cf950d323a78490a575247baa862d9cae1f863361d7e375006a64976f62f5062,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam/test_data.df,90be476a5a40a6b88a217b7b360ae5c80f59355da21dc8686873f9474de8dfd7
global_p_beauty,control,Beauty,0.052734375,0.05006705409029951,-0.0026673209097004894,0.02943597133472178,0.02789811440178807,-0.00153785693293371,2237,2237,e0_full_tail_v2,first-M-zero-based,12101,12101,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/global_p_beauty/global_p_beauty_beauty_p2_evalseed100_e0_eval.json,6d84b0e825f767749c2fcd985f02ed694e40c03761334ae0b2f344d77ea40e60,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,6f64444d72a72a44a0e08b5ab588d1629676c000bea5f56cb424d8dda11c969e,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p/checkpoints-meta/Beauty/checkpoint_proposal_adaptive_best.pth,a6dcfa0de9e234b1eed7ff4d5a653f4fc3619da70a334f7e5f32b33d9546f588,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p/logs/beauty_proposal_adaptive_ablation_global_p.log,13d2199c29cb0aca5c2cb07f58d61761bed010df983cc2f0fcd9e76e691abcc4,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p/checkpoints-meta/Beauty/frozen_run_manifest.json,028cd776cd0d153b0675adc26b89ecfb549679027332c03c4d1858bcbaa62d98,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/test_data.df,94805afca343ff505e978b3d8eff1f7e8a97920f340ca3a9dd6e92cf02de814b
u_shuffle_beauty,control,Beauty,0.052734375,0.05096110862762628,-0.0017732663723737177,0.033003889269923606,0.0316064362896445,-0.0013974529802791083,2237,2237,e0_full_tail_v2,first-M-zero-based,12101,12101,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/u_shuffle_beauty/u_shuffle_beauty_beauty_p2_evalseed100_e0_eval.json,2213dea4aaafdaa3c88de0d0ce9043eacc38d25d6dc6611dc01dc64ad61b26fd,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,286d97126913d5508b0d54696d0cc73ed742be1f96b183b0d550760399157628,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/checkpoint_proposal_adaptive_best.pth,109d1411484ccba361f7ad8d3e065eb5b2867b6f21a1e001480c8b828c68644a,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/logs/beauty_proposal_adaptive_ablation_u_shuffle.log,54168500c9f1a7beeb4ed5dd9573a77d27999f7add0e20c17720a8418ee959ff,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/frozen_run_manifest.json,73d9426b5b3034a01fc26dc4a1ded16858e2c2f80850925f859e4c0e29815f29,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/test_data.df,94805afca343ff505e978b3d8eff1f7e8a97920f340ca3a9dd6e92cf02de814b
text_anchor_only_beauty,control,Beauty,0.05224609375,0.05096110862762628,-0.0012849851223737177,0.028988654306103267,0.028199278186382445,-0.0007893761197208214,2237,2237,e0_full_tail_v2,first-M-zero-based,12101,12101,0,False,disliked_state,100,100,legacy_tail_skipping_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/text_anchor_only_beauty/text_anchor_only_beauty_beauty_p2_evalseed100_e0_eval.json,b13f579b451dc7fac14361bd2b6b348e82cc6c6dfdd14202f9a25ef4e7cd5fba,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,aaee42475431006d9368e872b0a513842a0a66486a35edd72b03b1a5be9ba2f2,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Beauty/checkpoint_proposal_adaptive_best.pth,da76cbb91f2f87334348b903e9e10de9c04931334c987de7aac6954d7e128509,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only/logs/beauty_proposal_adaptive_ablation_text_anchor_only.log,3c691a4a95bc8662442d01c5f380b868694e4be5cdc6cf34dd22d9b651ab0c18,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Beauty/frozen_run_manifest.json,dcb371aa3fa4bd588b4cdcacde25866695a5a531682d60afef2e41723f8d43a1,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/test_data.df,94805afca343ff505e978b3d8eff1f7e8a97920f340ca3a9dd6e92cf02de814b
diffurec_steam,DiffuRec,Steam,0.13247087173446825,0.13148008084399465,-0.000990790890473603,0.0738217967055455,0.07331326331219148,-0.0005085333933540215,80651,80651,e0_full_tail_v2,exclude-padding-id-0,9265,native_diffurec,native_diffurec,False,native_diffurec,100,100,legacy_equal_batch_mean_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/diffurec_steam/diffurec_steam_evalseed100_e0_eval.json,8d3b13c0a547b8ac077f122210b378c8075a88dd6a4195c78ae72ac25d381a63,/data/Zijian/goal/RecDemoRuns/close04_diffurec/steam_diffurec_seed100/checkpoints-meta/Steam/best_summary_diffurec.json,aa1e41f982a6c08c00f5fad7e907ddb47aaab124c6e945156eb5337ff2cfba60,/data/Zijian/goal/RecDemoRuns/close04_diffurec/steam_diffurec_seed100/checkpoints-meta/Steam/checkpoint_diffurec_best.pt,0968482a33d003d5fe97ec0c1342aeee89fe2cf08fa8b3eecf3a653ab3ba34b9,,,/data/Zijian/goal/RecDemoRuns/close04_diffurec/steam_diffurec_seed100/checkpoints-meta/Steam/diffurec_run_manifest.json,68fcb2596f0dc7f65ef7fc52a2ff76e018a92f5fcef9fcb22ebe1b074d3177b8,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam/test_data.df,90be476a5a40a6b88a217b7b360ae5c80f59355da21dc8686873f9474de8dfd7
diffurec_ml1m,DiffuRec,ML1M,0.257926175917337,0.25808793396467794,0.0001617580473409208,0.1411616285415199,0.1412486074368566,8.6978895336709e-05,85405,85405,e0_full_tail_v2,exclude-padding-id-0,3706,native_diffurec,native_diffurec,False,native_diffurec,100,100,legacy_equal_batch_mean_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/diffurec_ml1m/diffurec_ml1m_evalseed100_e0_eval.json,c4f24d3a61afef9c12f8c13ed97f56fae6fd5cdd53c6a3bac21662bf2c171e3c,/data/Zijian/goal/RecDemoRuns/close04_diffurec/ml1m_diffurec_seed100/checkpoints-meta/ML1M/best_summary_diffurec.json,151b82624e8cbc88c67a846e19607328185289202782319d3d5e44a60ac00e57,/data/Zijian/goal/RecDemoRuns/close04_diffurec/ml1m_diffurec_seed100/checkpoints-meta/ML1M/checkpoint_diffurec_best.pt,50389383a345fc9eb2e4d5c798ead66137ba7942b60170d369762a793366634c,,,/data/Zijian/goal/RecDemoRuns/close04_diffurec/ml1m_diffurec_seed100/checkpoints-meta/ML1M/diffurec_run_manifest.json,bba0c6dce277ca6f68be066714cd722868a8af5d6bb895e9eeafbc0826614b8a,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ML1M/test_data.df,92944bba9dc300a188eda0d2f2f794c16720ab0542bf406f65d3161ea854a3a4
diffurec_beauty,DiffuRec,Beauty,0.057165362251301616,0.05856057216784266,0.0013952099165410459,0.043489354559116886,0.044220452948781894,0.0007310983896650081,2237,2237,e0_full_tail_v2,exclude-padding-id-0,12101,native_diffurec,native_diffurec,False,native_diffurec,100,100,legacy_equal_batch_mean_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/diffurec_beauty/diffurec_beauty_evalseed100_e0_eval.json,f0e2794531ff3f27e8e18e3fb4f889411276b36ba55c4e748d28076ad78bd69e,/data/Zijian/goal/RecDemoRuns/close04_diffurec/beauty_diffurec_seed100/checkpoints-meta/Beauty/best_summary_diffurec.json,4fa1ddd63c9f425caedfeff6f243653afbcd631a1c094e3552326c5b1cd4d712,/data/Zijian/goal/RecDemoRuns/close04_diffurec/beauty_diffurec_seed100/checkpoints-meta/Beauty/checkpoint_diffurec_best.pt,2f4f1d5c5adf2cb6d197bba0e44d575577d0c25c3910bf037db5fab113829533,,,/data/Zijian/goal/RecDemoRuns/close04_diffurec/beauty_diffurec_seed100/checkpoints-meta/Beauty/diffurec_run_manifest.json,0b0222c854de2657641c27e9fae528c10453b9e45d32222bc430b64e8ea8354f,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/test_data.df,94805afca343ff505e978b3d8eff1f7e8a97920f340ca3a9dd6e92cf02de814b
diffurec_atg,DiffuRec,ATG,0.046790364664047956,0.04840370756789781,0.0016133429038498528,0.03693423792719841,0.03786116108743341,0.000926923160235002,1942,1942,e0_full_tail_v2,exclude-padding-id-0,11921,native_diffurec,native_diffurec,False,native_diffurec,100,100,legacy_equal_batch_mean_validation,True,/data/Zijian/goal/RecDemoRuns/aaai27_e0_fulltail_v3_20260710_d1b6664/final/diffurec_atg/diffurec_atg_evalseed100_e0_eval.json,c8ab354b7cf936eb365388650283100994989f32d8328e6193e68ad2c71f134f,/data/Zijian/goal/RecDemoRuns/close04_diffurec/atg_diffurec_seed100/checkpoints-meta/ATG/best_summary_diffurec.json,0b69463aacff4c1f7db227c1f41c5718f4c8ba19015a6a9913294ba3525a9e58,/data/Zijian/goal/RecDemoRuns/close04_diffurec/atg_diffurec_seed100/checkpoints-meta/ATG/checkpoint_diffurec_best.pt,fbbc95b8ac7511618d69db7b4eecb2e298952bf689aa83f148fdfde2658fa1f8,,,/data/Zijian/goal/RecDemoRuns/close04_diffurec/atg_diffurec_seed100/checkpoints-meta/ATG/diffurec_run_manifest.json,d5f898f57f2a9864e086939e78a30d522a5c70d77a9f047c30503aa607cef11a,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ATG/test_data.df,c1bf2e988193879af84ae4a23828defd1e6b7afb4940ce99295e41e64b5472d7
