"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SPRINT-01","P0","1","backend","Implement v2 fallback-safe gated proposal kernel","Replace the three-dial adaptive mapping in TextSideProposalBuilder with the single evidence-gated mixture anchored to the core learnable proposal softmax(p1); pseudo-item mass stays exactly the core value and u never modifies it. Legacy v1 path stays selectable for ablation arms.","WHEN kernel_version=v2 is configured THEN proposal equals p_core(pseudo)*e_pseudo + (1-p_core(pseudo))*[(1-g)*renorm(p_core)+g*c_h] with g=g_max*clamp(u_tilde,0,1) and no new learnable modules beyond core p1; WHEN is_disliked_item is false THEN proposal reduces to (1-g)*p_core+g*c_h; WHEN ablation modes run under v2 THEN global_p forces g==0 and text_anchor_only forces g==g_max and u_shuffle permutes u_tilde across batch users; WHEN kernel_version=v1 THEN legacy behavior is unchanged and existing text-side tests still pass; ref: docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:43","CONTRACT","test-driven-development","","Check gradients flow to p1 through both mixture branches and the pseudo-item coordinate is taken from p_core, never from u.","Verify spec section 1.2 decisions 1, 3, and 4 are implemented in the v2 kernel path; verify c_h down-weights zero-text items via completeness; verify no temperature or popularity_mix or pseudo_mass coupling to u remains in the v2 path; decision 2 null-calibration wiring is owned by SPRINT-02.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:43; docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:59; model/text_side.py:115; model/text_side.py:375; model/text_side.py:501; tests/test_text_side_proposal.py:24","source_doc:docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md; decision:pseudo-mass-frozen-to-core; risk:medium v1 ablation arms must stay runnable; picked_reason:P0 first executable row and prerequisite for all later v2 gates; boundary_fix:decision2-null-calibration-owned-by-SPRINT-02; evidence:python -m unittest tests.test_text_side_proposal tests.test_proposal_wiring tests.test_repo_repro_contract => 23 tests OK; evidence:python -m unittest tests.test_text_side_proposal tests.test_build_agreement_null_curves tests.test_proposal_wiring tests.test_repo_repro_contract tests.test_build_text_side_embeddings_script => 26 tests OK"
"SPRINT-02","P0","1","backend","Build length-matched agreement null calibration","Add an offline builder for per-dataset agreement null curves mu_null(L) and sigma_null(L) from frozen text banks, and wire u_tilde=(A_h-mu_null(L))/(k*sigma_null(L)) into v2 context encoding.","WHEN scripts/build_agreement_null_curves.py runs on a dataset directory THEN it writes a null-curve artifact keyed by history-length bins with fixed seed and records the bank hash into protocol metadata; WHEN the same inputs are rebuilt THEN the artifact is byte-stable; WHEN encode_history_context runs under v2 THEN u_tilde uses the length-matched null lookup and a random pseudo-history scores u_tilde near 0; ref: docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:59","CONTRACT","test-driven-development","","Check null curves are computed only from the frozen bank with no user interaction data and no target leakage.","Verify length bins cover observed history lengths for all four datasets; verify defaults match spec initial values k=2.0 g_max=0.5 tau0=0.2.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:59; scripts/build_agreement_null_curves.py:1; model/text_side.py:33; model/text_side.py:210; model/text_side.py:375; configs/config.yaml:83","source_doc:docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md; artifact:null_curves; history_only:true; picked_reason:required-to-close-calibrated-u_tilde-path-and-finish-spec-decision2; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_text_side_proposal tests.test_build_agreement_null_curves tests.test_proposal_wiring tests.test_proposal_adaptive_graph tests.test_build_g0_equivalence_report tests.test_build_g0_smoke_training_report tests.test_build_gate0_utilde_report tests.test_launch_gate0_tmux tests.test_repo_repro_contract tests.test_build_text_side_embeddings_script => 34 tests OK; evidence:artifact protocol writes bank_hash and length_bins with byte-stable json on toy dataset; validation_limited:real four-dataset artifact coverage not yet executed because local dataset dirs do not contain the production text_bank.csv/sentence_t5_xl_item_emb.pt bank pair for Steam-ML1M-Beauty-ATG"
"SPRINT-03","P0","1","backend","Prove g==0 core equivalence before any remote launch","Add the equivalence suite showing the v2 kernel with g==0 reproduces core PreferGrow exactly; this is the hard gate that must pass before main-table retrains launch.","WHEN g==0 THEN forward corruption rows and score_entropy terms and reverse_prob_ratio outputs and sample_nonpreference distributions match the core AdaptiveWise graph within numerical tolerance given identical p1; WHEN a short smoke training run executes with v2 g==0 THEN its loss and metric curve matches a same-seed core run within noise and the comparison is archived under docs/reports/data; WHEN this suite fails THEN SPRINT-05 must not start; ref: docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:70","CONTRACT","test-driven-development;verification-before-completion","","Check the comparison is numeric against the real core code path, not a mocked or re-derived formula.","Verify Prop 6 preconditions hold in code: pseudo mass from p_core, identical state space including the pseudo coordinate, proposal threading through all four kernel call sites at graph_lib.py:1323.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:70; graph_lib.py:1312; graph_lib.py:1325; losses.py:11; sampling.py:58; scripts/build_g0_equivalence_report.py:95; scripts/build_g0_smoke_training_report.py:232; docs/reports/data/g0_equivalence_report.csv:1; docs/reports/data/g0_smoke_training_curve.csv:1; tests/test_build_g0_equivalence_report.py:21; tests/test_build_g0_smoke_training_report.py:21","source_doc:docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md; gate:pre-launch; evidence:numeric_equivalence archived:docs/reports/data/g0_equivalence_report.csv; evidence:smoke_curve archived:docs/reports/data/g0_smoke_training_curve.csv; picked_reason:next-P0-gate-before-any-remote-run; fix:proposal-row-semantics-in-graph_lib; fix:proposal-optional-core-wiring-in-losses-sampling; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_text_side_proposal tests.test_build_agreement_null_curves tests.test_proposal_wiring tests.test_proposal_adaptive_graph tests.test_build_g0_equivalence_report tests.test_build_g0_smoke_training_report tests.test_repo_repro_contract tests.test_build_text_side_embeddings_script => 31 tests OK"
"SPRINT-04","P0","1","infra","Run Gate 0 production-bank u_tilde diagnostics","On the remote production sentence-t5-xl banks compute null curves and real-user u_tilde distributions for Steam, ML1M, Beauty, ATG and issue the Gate 0 go or no-go verdict.","WHEN diagnostics run on production banks THEN per-dataset median and distribution of real-user u_tilde are written to docs/reports/data with a dated report; WHEN Gate 0 is evaluated THEN it passes only if abs(median u_tilde on ML1M) < 0.5 and median u_tilde on Steam and Beauty exceeds the ML1M median; WHEN the criterion fails THEN the report states the revised hypothesis and main-table retrains stay blocked; ref: docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:94","MANUAL","verification-before-completion","","Check diagnostics use regenerated production banks, not local legacy embeddings.","Verify the verdict quotes the spec Gate 0 criterion and records the resulting decision to open or keep blocking SPRINT-05.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:94; model/text_side.py:448; scripts/build_gate0_utilde_report.py:27; scripts/launch_gate0_tmux.py:12; scripts/launch_beauty_text_side_tmux.py:12; scripts/sync_remote_recdemo_code.py:1; scripts/retry_gate0_when_l20_ready.py:1; tests/test_build_gate0_utilde_report.py:83; tests/test_launch_gate0_tmux.py:18; tests/test_launch_beauty_text_side_tmux.py:18; tests/test_sync_remote_recdemo_code.py:20; tests/test_retry_gate0_when_l20_ready.py:19; docs/reports/data/2026-07-02-gate0/gate0_u_tilde_report.md:1; docs/reports/data/2026-07-02-gate0/gate0_u_tilde_report.json:1; docs/reports/data/2026-07-02-gate0/gate0_u_tilde_summary.csv:1; docs/reports/data/2026-07-02-gate0/gate0_experiment_process_zh.md:1","source_doc:docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md; gate:GATE-0; deadline:2026-07-05; local_support:gate0-report-builder-and-remote-tmux-launcher-added; prep:beauty-only-v2-tmux-launcher-added; validation_limited:local dataset dirs do not contain production text-side bank artifacts (item_metadata/text_bank/sentence_t5_xl_item_emb/agreement_null_curves) needed for real Gate 0 readout; blocked:ssh l20 connection timed out before authentication; attempted:ssh-l20-pwd; attempted:ssh-l20-recDemo-ls; attempted:Test-NetConnection-172.18.0.40-port22-failed; attempted:tracert-172.18.0.40-5hops-all-timeout; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_build_gate0_utilde_report tests.test_launch_gate0_tmux tests.test_build_g0_equivalence_report tests.test_build_g0_smoke_training_report tests.test_proposal_adaptive_graph tests.test_proposal_wiring tests.test_text_side_proposal tests.test_build_agreement_null_curves tests.test_repo_repro_contract tests.test_build_text_side_embeddings_script => 34 tests OK; evidence:& 'E:/anaco/python.exe' scripts/launch_gate0_tmux.py --print-only => remote tmux command generated; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_launch_beauty_text_side_tmux => 2 tests OK; evidence:& 'E:/anaco/python.exe' scripts/launch_beauty_text_side_tmux.py --print-only --gpu-id 1 => remote tmux command generated; obs:remote-prod-datasets-live-under-/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/{ML1M,Steam,Beauty,ATG}; obs:ssh-l20-recovered-briefly-hostname=ubuntu; obs:remote-RecDemo-head=e63193f-only-initial-spec-era-code; fix:gate0-and-beauty-launchers-now-default-to-paper_raw_v1-and-use-shell-free-ssh-argv-on-Windows; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_launch_beauty_text_side_tmux tests.test_launch_gate0_tmux tests.test_build_gate0_utilde_report => 10 tests OK; evidence:& 'E:/anaco/python.exe' scripts/launch_gate0_tmux.py => tmux session gate0_utilde created before remote script-missing exit; blocked:remote-RecDemo-missing-current-scripts-build_gate0_utilde_report-and-related-v2-code; attempted:ssh-l20-direct-gate0-smoke-script-missing; blocked:ssh-l20-flapped-back-to-timeout-during-code-resync; prep:minimal-remote-code-sync-script-added-for-gate0-and-beauty-runtime-files; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_sync_remote_recdemo_code tests.test_launch_beauty_text_side_tmux tests.test_launch_gate0_tmux tests.test_build_gate0_utilde_report => 16 tests OK; evidence:& 'E:/anaco/python.exe' scripts/sync_remote_recdemo_code.py --print-plan => sync-and-verify plan generated for 21 runtime files; prep:single-ssh tar-stream sync now reduces resync to one sync+verify session; prep:background local gate0 retry helper launched pid=32116 log=logs/gate0_retry_l20.log; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_retry_gate0_when_l20_ready tests.test_sync_remote_recdemo_code tests.test_launch_beauty_text_side_tmux tests.test_launch_gate0_tmux tests.test_build_gate0_utilde_report => 20 tests OK; evidence:logs/gate0_retry_l20.log attempt1 sync failed due ssh timeout and helper remains active; evidence:background-helper attempt5 sync+launch succeeded at 2026-07-02 20:26 but tmux launch used relative script path and later session exited; evidence:ssh l20 ""hostname; git rev-parse --short HEAD"" => ubuntu / e63193f while runtime files now exist untracked on remote; evidence:ssh direct smoke gate0 --max-users 16 => verdict fail with median_u_tilde(ML1M)=0.8668, Steam=1.0899, Beauty=1.2232; fix:launch_gate0_tmux now uses absolute remote script path /data/Zijian/goal/RecDemo/scripts/build_gate0_utilde_report.py to avoid /home/zijian cwd drift; prep:background local gate0 retry helper restarted pid=5192 after launcher fix; evidence:logs/gate0_retry_l20.log attempt1 after restart failed due ssh timeout and helper remains active; blocked:ssh-l20-still-flaps-during-full-gate0-launch; evidence:logs/gate0_retry_l20.log attempt8 sync+launch succeeded at 2026-07-02 20:44 and full remote Gate0 artifacts were written by 2026-07-02 20:52; evidence:docs/reports/data/2026-07-02-gate0/gate0_u_tilde_report.md => fail with revised hypothesis and SPRINT-05 blocked; evidence:full medians ML1M=1.427543 Steam=0.107291 Beauty=0.798168 ATG=0.724168 on production sentence-t5-xl banks; decision:sprint05-stays-blocked; skills_used:mission-csv-execute; done_at:2026-07-02"
"FOLLOWUP-01","P0","1","infra","Diagnose Gate0 ML1M null-calibration failure on production banks","Using the same production sentence-t5-xl banks as Gate0, build a component-level diagnostic that explains why ML1M stayed far above the null point and formalizes the next-step path before any v2 main-table retrain is reopened.","WHEN the diagnostic runs on production banks THEN it writes a dated report under docs/reports/data summarizing per-dataset distributions of raw agreement, matched mu_null and sigma_null, history length, completeness, history_reliability, u_tilde, and g; WHEN ML1M is compared with Steam and Beauty THEN the report states whether the Gate0 fail is primarily explained by raw agreement residual above mu_null, null-curve spread, or another observed mismatch and cites the evidence; WHEN the report is finalized THEN it explicitly recommends either calibration repair first or frozen-claim downgrade before reopening SPRINT-05; ref: docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:98","MANUAL","verification-before-completion","","Check the diagnostic reads the same production-bank artifacts as Gate0 and reports raw agreement alongside matched null stats, not only final u_tilde.","Verify the decision section cites the actual Gate0 fail artifacts and does not reopen SPRINT-05 without a repaired calibration or an explicit claim downgrade path.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:98; docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:100; model/text_side.py:403; model/text_side.py:511; scripts/build_gate0_failure_diagnostic.py:1; tests/test_build_gate0_failure_diagnostic.py:1; scripts/sync_remote_recdemo_code.py:1; docs/reports/data/2026-07-02-gate0/gate0_u_tilde_report.md:1; docs/reports/data/2026-07-02-gate0/gate0_failure_diagnostic.md:1; docs/reports/data/2026-07-02-gate0/gate0_failure_diagnostic.json:1; docs/reports/data/2026-07-02-gate0/gate0_failure_component_summary.csv:1; docs/reports/data/2026-07-02-gate0/gate0_failure_diagnostic_zh.md:1; docs/reports/data/2026-07-02-gate0/gate0_experiment_process_zh.md:1","source_doc:docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md; blocked_by:SPRINT-04 fail; picked_reason:highest-value-unblocked-step-after-Gate0-fail-because-spec-requires-hypothesis-revision-before-retraining; continue_from:SPRINT-04; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_build_gate0_failure_diagnostic tests.test_build_gate0_utilde_report tests.test_sync_remote_recdemo_code => 12 tests OK; evidence:ssh -o ConnectTimeout=10 l20 ""hostname; date '+%F %T %z'; ls -lah /data/Zijian/goal/RecDemo/docs/reports/data/2026-07-02-gate0"" => ubuntu and remote Gate0 artifacts visible with 21:52 Gate0 timestamps and 22:29 follow-up timestamps; evidence:docs/reports/data/2026-07-02-gate0/gate0_failure_diagnostic.md => primary_driver=null_curve_spread_or_scaling_mismatch and recommended_next_path=calibration_repair_first; evidence:docs/reports/data/2026-07-02-gate0/gate0_experiment_process_zh.md => detailed Chinese server-side process and operation log added; decision:sprint05-stays-blocked; skills_used:mission-csv-execute; done_at:2026-07-02; continue_now:FOLLOWUP-02"
"FOLLOWUP-02","P0","1","backend","Audit Gate0 null-curve spread/scaling repair path before retrains","Before any v2 main-table retrain is reopened, audit whether the Gate0 ML1M failure can be repaired by null-curve spread or scaling changes on the existing production-bank path, and formalize the main-path decision if no plausible global repair exists.","WHEN the calibration audit runs on the current Gate0 artifacts or regenerated null-curve candidates THEN it writes a dated report under docs/reports/data/2026-07-02-gate0 comparing candidate spread or k or floor repairs against the current ML1M/Steam/Beauty medians; WHEN the report is finalized THEN it states whether any single repair directionally satisfies abs(median_u_tilde(ML1M)) < 0.5 while preserving the Steam/Beauty ordering gates without reopening main-table retrains; WHEN no plausible repair is supported THEN it records that the stronger main-path claim should downgrade instead of reopening SPRINT-05; ref: docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:98","MANUAL","verification-before-completion","","Check the audit uses the same Gate0 production-bank path and explicitly cites which spread or scaling knob is being tested, rather than silently changing unrelated model behavior.","Verify the decision section keeps SPRINT-05 blocked unless a repaired calibration path has explicit evidence from the audit artifacts.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md:98; model/text_side.py:403; model/text_side.py:511; scripts/build_agreement_null_curves.py:87; scripts/build_gate0_calibration_repair_audit.py:1; tests/test_build_gate0_calibration_repair_audit.py:1; scripts/sync_remote_recdemo_code.py:1; docs/reports/data/2026-07-02-gate0/gate0_failure_diagnostic.md:1; docs/reports/data/2026-07-02-gate0/gate0_calibration_repair_audit.md:1; docs/reports/data/2026-07-02-gate0/gate0_calibration_repair_audit.json:1; docs/reports/data/2026-07-02-gate0/gate0_calibration_repair_candidates.csv:1; docs/reports/data/2026-07-02-gate0/gate0_calibration_repair_audit_zh.md:1; docs/reports/data/2026-07-02-gate0/gate0_experiment_process_zh.md:1","source_doc:docs/superpowers/specs/2026-07-02-aaai27-fallback-safe-kernel-sprint-design.md; blocked_by:FOLLOWUP-01; picked_reason:primary-main-path-repair-after-diagnostic-named-null_curve_spread_or_scaling_mismatch; continue_from:FOLLOWUP-01; started_at:2026-07-03; evidence:& 'E:/anaco/python.exe' -m unittest tests.test_build_gate0_calibration_repair_audit tests.test_build_gate0_failure_diagnostic tests.test_sync_remote_recdemo_code => 12 tests OK; evidence:ssh -o ConnectTimeout=10 l20 ""hostname; date '+%F %T %z'; ls -lah /data/Zijian/goal/RecDemo/docs/reports/data/2026-07-02-gate0 | tail -n 8"" => ubuntu and remote Gate0 + repair audit artifacts visible with 2026-07-03 02:03 timestamps; evidence:docs/reports/data/2026-07-02-gate0/gate0_calibration_repair_audit.md => 96 candidates and 0 passes on the production-bank path; evidence:docs/reports/data/2026-07-02-gate0/gate0_calibration_repair_audit.json => recommended_next_path=downgrade_claim_or_design_deeper_repair and repair_limit=ordering_never_recovers_under_global_repairs; evidence:best_candidate=k4_scale2_floor0 lowers ML1M to 0.356886 but still leaves Steam=0.026823 and Beauty=0.199542 below ML1M; ops:remote-audit-first-ran-from-/tmp-after-/data-full-and-broken-0-byte-script-then-archived-back-to-/data/Zijian/goal/RecDemo-after-disk-cleanup; decision:sprint05-stays-blocked; skills_used:mission-csv-execute; done_at:2026-07-03; continue_now:FOLLOWUP-03"
